Time	Amplitude
14.658244304071737	-0.03104296603375519
14.659244320738681	-0.02998330898531777
14.660244337405624	-0.028883084878727233
14.661244354072569	-0.02771767798914094
14.662244370739513	-0.026450851039578796
14.663244387406458	-0.025033989568277508
14.664244404073402	-0.023464949505627154
14.665244420740347	-0.021754444765645906
14.666244437407292	-0.019913299532092383
14.667244454074236	-0.017952390880067597
14.66824447074118	-0.01588264877602474
14.669244487408125	-0.01371505607777843
14.67024450407507	-0.011460648534485293
14.671244520742013	-0.009130514786653157
14.672244537408957	-0.006735796366152133
14.673244554075902	-0.0042870770203208616
14.674244570742847	-0.0017904675287616486
14.675244587409791	0.0007499018751511437
14.676244604076736	0.003329857764581553
14.67724462074368	0.005945173821354497
14.678244637410625	0.008591570835941746
14.67924465407757	0.01126471670745208
14.680244670744514	0.013960226443654482
14.681244687411459	0.016673662160966777
14.682244704078403	0.01940053308444109
14.683244720745346	0.02213756511682022
14.68424473741229	0.024890885821278096
14.685244754079235	0.027670835625176776
14.68624477074618	0.030487722797751214
14.687244787413125	0.03335180271688511
14.68824480408007	0.0362732778690951
14.689244820747014	0.03926229784956097
14.690244837413958	0.042328959362105886
14.691244854080903	0.04548330621920651
14.692244870747848	0.04873532934197118
14.693244887414792	0.052094130731257876
14.694244904081735	0.05556250341445073
14.69524492074868	0.05914035299470235
14.696244937415624	0.0628275181457517
14.697244954082569	0.06662378464998485
14.698244970749514	0.07052888539841888
14.699244987416458	0.07454250039073702
14.700245004083403	0.07866425673527108
14.701245020750347	0.08289372864898283
14.702245037417292	0.08723043745749806
14.703245054084237	0.09167158059307345
14.704245070751181	0.09619722615581204
14.705245087418126	0.1007796197433821
14.706245104085069	0.10539091485955662
14.707245120752013	0.11000321211675955
14.708245137418958	0.11458855923604565
14.709245154085902	0.11911895104713839
14.710245170752847	0.12356632948840933
14.711245187419792	0.12790258360685605
14.712245204086736	0.13209954955814598
14.71324522075368	0.13613401701431477
14.714245237420625	0.14002055019491122
14.71524525408757	0.14379530881969987
14.716245270754515	0.14749799306836106
14.717245287421457	0.15115851838893277
14.718245304088402	0.15480653815257361
14.719245320755347	0.15847173838452389
14.720245337422291	0.16218383776407885
14.721245354089236	0.16597258762463574
14.72224537075618	0.16986777195366914
14.723245387423125	0.1738965062194304
14.72424540409007	0.17806542993205488
14.725245420757014	0.1823718065676208
14.726245437423959	0.1868128943108879
14.727245454090903	0.19138599059372033
14.728245470757848	0.19608842558422274
14.729245487424791	0.2009175621045796
14.730245504091735	0.2058707956310302
14.73124552075868	0.2109455542939191
14.732245537425625	0.21613929887766806
14.73324555409257	0.22144644524287843
14.734245570759514	0.22683796189806232
14.735245587426459	0.23227403163700658
14.736245604093403	0.23771481223741966
14.737245620760348	0.24312049413105924
14.738245637427292	0.2484513004037929
14.739245654094237	0.2536674867955656
14.74024567076118	0.258729341700378
14.741245687428124	0.2635971861663349
14.742245704095069	0.26823137389561746
14.743245720762014	0.27259877989503395
14.744245737428958	0.27671605701911667
14.745245754095903	0.2806229069404509
14.746245770762847	0.28435918891181206
14.747245787429792	0.28796479484008186
14.748245804096737	0.2914796492862175
14.749245820763681	0.2949437094652352
14.750245837430626	0.2983969652462522
14.75124585409757	0.3018794391524575
14.752245870764513	0.3054311863611293
14.753245887431458	0.30908598980941765
14.754245904098402	0.312829093266685
14.755245920765347	0.3166232056639594
14.756245937432292	0.32043094388457843
14.757245954099236	0.32421495746597984
14.75824597076618	0.32793792859968
14.759245987433125	0.33156257213125634
14.76024600410007	0.3350516355603856
14.761246020767015	0.33836789904082065
14.76224603743396	0.34147417538037966
14.763246054100902	0.3443386807906756
14.764246070767847	0.34697124118493955
14.765246087434791	0.3494011136464508
14.766246104101736	0.3516576970228227
14.76724612076868	0.3537704228157411
14.768246137435625	0.35576875518097606
14.76924615410257	0.35768219092836423
14.770246170769514	0.35954025952183427
14.771246187436459	0.36137252307939616
14.772246204103403	0.36320857637312526
14.773246220770348	0.36507309048992215
14.774246237437293	0.3669522129721013
14.775246254104236	0.36881405960198865
14.77624627077118	0.3706266754046042
14.777246287438125	0.37235813805904755
14.77824630410507	0.3739765578984903
14.779246320772014	0.375450077910191
14.780246337438959	0.3767468737354878
14.781246354105903	0.3778351536697906
14.782246370772848	0.37868315866259655
14.783246387439792	0.37926414400913905
14.784246404106737	0.379590340425404
14.785246420773682	0.3796923331661007
14.786246437440624	0.3796008468740337
14.787246454107569	0.3793466388460835
14.788246470774514	0.37896049903321105
14.789246487441458	0.37847325004045695
14.790246504108403	0.3779157471269403
14.791246520775347	0.37731819474893935
14.792246537442292	0.3766902845851578
14.793246554109237	0.3760520330269732
14.794246570776181	0.37539624894090223
14.795246587443126	0.3746974171860242
14.79624660411007	0.37392987683811013
14.797246620777015	0.37306792958125495
14.798246637443958	0.37208583970786036
14.799246654110902	0.3709578341186448
14.800246670777847	0.36965810232263896
14.801246687444792	0.36816079643719396
14.802246704111736	0.3664400311879695
14.80324672077868	0.36447259595240306
14.804246737445625	0.36225665126439616
14.80524675411257	0.3598004770101631
14.806246770779515	0.35711237693180575
14.80724678744646	0.35420061737975667
14.808246804113404	0.35107342731274743
14.809246820780348	0.34773899829782257
14.810246837447291	0.3442054845103597
14.811246854114236	0.3404810027340326
14.81224687078118	0.3365736323608292
14.813246887448125	0.3324930085707993
14.81424690411507	0.3282613671774431
14.815246920782014	0.3239069274384936
14.816246937448959	0.31945790815229014
14.817246954115904	0.31494249072550795
14.818246970782848	0.310388819173117
14.819246987449793	0.30582500011839975
14.820247004116737	0.30127910279297837
